ID,Image Filename,Defect Percent,Score Max,Reject,Hlimit,,,,,,,,,,,,,,,,
1_1,S5K4AC_GA_DB08_2419343901_0202_003_025_001_POST_BVI_DiePlacement_20240817175046.jpg,5.76,204,TRUE,130,,,,,,,,,,,,,,,,
2_1,S5K4AC_GA_DB08_24232802B1_2508_006_004_001_POST_BVI_DiePlacement_20240816063342.jpg,1.37,203,TRUE,170,,,,,,,,,,,,,,,,
3_1,S5K4AC_GA_DB08_2419343901_0202_007_005_001_POST_BVI_DiePlacement_20240817174430.jpg,0.21,188,FALSE,170,,,,,,,,,,,,,,,,
4_1,S5K4AC_GA_DB08_2419343901_0106_001_024_001_POST_BVI_DiePlacement_20240815032029.jpg,0.8,186,TRUE,170,,,,,,,,,,,,,,,,
5_1,S5K4AC_GA_DB08_24232802B1_2508_003_023_001_POST_BVI_DiePlacement_20240816064128.jpg,1.18,201,TRUE,170,,,,,,,,,,,,,,,,
6_1,S5K4AC_GA_DB08_2419343901_0202_006_012_001_POST_BVI_DiePlacement_20240817174629.jpg,1.53,199,TRUE,170,,,,,,,,,,,,,,,,
7_1,S5K4AC_GA_DB08_2419343901_NG4.jpg,0.24,180,FALSE,170,,,,,,,,,,,,,,,,
8_1,S5K4AC_GA_DB08_2419343901_0106_008_001_001_POST_BVI_DiePlacement_20240815031113.jpg,0.25,180,FALSE,170,,,,,,,,,,,,,,,,
9_1,S5K4AC_GA_DB08_24232802B1_2508_006_001_001_POST_BVI_DiePlacement_20240816063251.jpg,0.14,184,FALSE,170,,,,,,,,,,,,,,,,
10_1,S5K4AC_GA_DB08_2419343901_0202_001_024_001_POST_BVI_DiePlacement_20240817174947.jpg,8.55,192,TRUE,130,,,,,,,,,,,,,,,,
11_1,S5K4AC_GA_DB08_2419343901_0106_001_001_001_POST_BVI_DiePlacement_20240815031058.jpg,2.72,179,TRUE,130,,,,,,,,,,,,,,,,
12_1,S5K4AC_GA_DB08_24232802B1_2808_001_001_001_POST_BVI_DiePlacement_20240816050936.jpg,3.99,187,TRUE,130,,,,,,,,,,,,,,,,
13_1,S5K4AC_GA_DB08_2419344101_0103_001_002_001_POST_BVI_DiePlacement_20240816031110.jpg,6.99,195,TRUE,130,,,,,,,,,,,,,,,,
14_1,S5K4AC_GA_DB08_2419343901_0106_007_014_001_POST_BVI_DiePlacement_20240815031742.jpg,3.22,189,TRUE,130,,,,,,,,,,,,,,,,
15_1,S5K4AC_GA_DB08_2419343901_NG1.jpg,3.67,188,TRUE,130,,,,,,,,,,,,,,,,
16_1,S5K4AC_GA_DB08_2419343901_0202_001_023_001_POST_BVI_DiePlacement_20240817174925.jpg,8.75,197,TRUE,130,,,,,,,,,,,,,,,,
17_1,S5K4AC_GA_DB08_2419343901_0106_007_001_001_POST_BVI_DiePlacement_20240815031111.jpg,2.85,179,TRUE,130,,,,,,,,,,,,,,,,
18_1,S5K4AC_GA_DB08_2419343901_NG5.jpg,0.6,196,TRUE,170,,,,,,,,,,,,,,,,
19_1,S5K4AC_GA_DB08_2419343901_NG3.jpg,0.32,206,FALSE,170,,,,,,,,,,,,,,,,
20_1,S5K4AC_GA_DB08_2419343901_NG2.jpg,1.14,198,TRUE,170,,,,,,,,,,,,,,,,
21_1,S5K4AC_GA_DB08_2419343901_0202_004_025_001_POST_BVI_DiePlacement_20240817175048.jpg,1.33,199,TRUE,170,,,,,,,,,,,,,,,,
0_1,S5K4AC_GA_DB08_2419343901_0202_004_024_001_POST_BVI_DiePlacement_20240817174953.jpg,19.31,202,TRUE,100,,,,,,,,,,,,,,,,
1_1,S5K4AC_GA_DB08_2419343901_0202_003_025_001_POST_BVI_DiePlacement_20240817175046.jpg,13.26,204,TRUE,100,,,,,,,,,,,,,,,,
2_1,S5K4AC_GA_DB08_24232802B1_2508_006_004_001_POST_BVI_DiePlacement_20240816063342.jpg,0.03,203,FALSE,200,,,,,,,,,,,,,,,,
3_1,S5K4AC_GA_DB08_2419343901_0202_007_005_001_POST_BVI_DiePlacement_20240817174430.jpg,0,188,FALSE,200,,,,,,,,,,,,,,,,
4_1,S5K4AC_GA_DB08_2419343901_0106_001_024_001_POST_BVI_DiePlacement_20240815032029.jpg,0,186,FALSE,200,,,,,,,,,,,,,,,,
5_1,S5K4AC_GA_DB08_24232802B1_2508_003_023_001_POST_BVI_DiePlacement_20240816064128.jpg,0,201,FALSE,200,,,,,,,,,,,,,,,,
6_1,S5K4AC_GA_DB08_2419343901_0202_006_012_001_POST_BVI_DiePlacement_20240817174629.jpg,0,199,FALSE,200,,,,,,,,,,,,,,,,
7_1,S5K4AC_GA_DB08_2419343901_NG4.jpg,0,180,FALSE,200,,,,,,,,,,,,,,,,
8_1,S5K4AC_GA_DB08_2419343901_0106_008_001_001_POST_BVI_DiePlacement_20240815031113.jpg,0,180,FALSE,200,,,,,,,,,,,,,,,,
9_1,S5K4AC_GA_DB08_24232802B1_2508_006_001_001_POST_BVI_DiePlacement_20240816063251.jpg,0,184,FALSE,200,,,,,,,,,,,,,,,,
10_1,S5K4AC_GA_DB08_2419343901_0202_001_024_001_POST_BVI_DiePlacement_20240817174947.jpg,18.65,192,TRUE,100,,,,,,,,,,,,,,,,
11_1,S5K4AC_GA_DB08_2419343901_0106_001_001_001_POST_BVI_DiePlacement_20240815031058.jpg,12.04,179,TRUE,100,,,,,,,,,,,,,,,,
12_1,S5K4AC_GA_DB08_24232802B1_2808_001_001_001_POST_BVI_DiePlacement_20240816050936.jpg,9.41,187,TRUE,100,,,,,,,,,,,,,,,,
13_1,S5K4AC_GA_DB08_2419344101_0103_001_002_001_POST_BVI_DiePlacement_20240816031110.jpg,12.18,195,TRUE,100,,,,,,,,,,,,,,,,
14_1,S5K4AC_GA_DB08_2419343901_0106_007_014_001_POST_BVI_DiePlacement_20240815031742.jpg,12.53,189,TRUE,100,,,,,,,,,,,,,,,,
15_1,S5K4AC_GA_DB08_2419343901_NG1.jpg,8.54,188,TRUE,100,,,,,,,,,,,,,,,,
16_1,S5K4AC_GA_DB08_2419343901_0202_001_023_001_POST_BVI_DiePlacement_20240817174925.jpg,19.33,197,TRUE,100,,,,,,,,,,,,,,,,
17_1,S5K4AC_GA_DB08_2419343901_0106_007_001_001_POST_BVI_DiePlacement_20240815031111.jpg,10.01,179,TRUE,100,,,,,,,,,,,,,,,,
18_1,S5K4AC_GA_DB08_2419343901_NG5.jpg,0,196,FALSE,200,,,,,,,,,,,,,,,,
19_1,S5K4AC_GA_DB08_2419343901_NG3.jpg,0.05,206,FALSE,200,,,,,,,,,,,,,,,,
20_1,S5K4AC_GA_DB08_2419343901_NG2.jpg,0,198,FALSE,200,,,,,,,,,,,,,,,,
21_1,S5K4AC_GA_DB08_2419343901_0202_004_025_001_POST_BVI_DiePlacement_20240817175048.jpg,0,199,FALSE,200,,,,,,,,,,,,,,,,
,,,,,,,0_1,1_1,10_1,11_1,12_1,13_1,14_1,15_1,16_1,17_1,18_1,19_1,2_1,20_1,21_1
,,,,,,100,19.31,13.26,18.65,12.04,9.41,12.18,12.53,8.54,19.33,10.01,7.35,11.92,12.6,13.79,12.87
,,,,,,130,7.81,5.76,8.55,2.72,3.99,6.99,3.22,3.67,8.75,2.85,2.87,2.17,5.78,5.98,7.05
,,,,,,150,4.5,2.92,3.61,0.68,2.51,3.06,1.45,1.69,3.48,1.08,1.97,0.68,3.05,2.47,4.3
,,,,,,170,1.49,0.71,0.71,0.04,0.9,1.25,0.41,0.45,1.45,0.19,0.6,0.32,1.37,1.14,1.33
,,,,,,200,0,0.04,0,0,0,0,0,0,0,0,0,0.05,0.03,0,0
